total number of analysis:364378 
total number of analysis until best:315070 
top-scored iteration: 4320 

Microsoft Windows [Version 10.0.22000.613]
(c) Microsoft Corporation. All rights reserved.

C:\Users\dream\Documents\Research\RL_Construction\20220428>python Train.py
C:\Users\dream\anaconda3\lib\site-packages\torch\nn\init.py:388: UserWarning: Initializing zero-element tensors is a no-op
  warnings.warn("Initializing zero-element tensors is a no-op")
episode 143 : step=55  reward=-39.0 aveQ=-24.41  loss=207.44
episode 144 : step=42  reward=-20.0 aveQ=+47.98  loss=239.25
episode 145 : step=89  reward=-83.0 aveQ=-122.09 loss=235.41
episode 146 : step=89  reward=-43.0 aveQ=-30.41  loss=221.03
episode 147 : step=42  reward=-17.0 aveQ=+23.86  loss=235.75
episode 148 : step=110 reward=-48.0 aveQ=-65.72  loss=231.29
episode 149 : step=68  reward=-35.0 aveQ=+92.87  loss=224.80
episode 150 : step=68  reward=-29.0 aveQ=+60.75  loss=220.27
episode 151 : step=72  reward=-23.0 aveQ=+21.65  loss=226.04
episode 152 : step=55  reward=-36.0 aveQ=+64.19  loss=215.48
episode 153 : step=68  reward=-47.0 aveQ=-35.58  loss=248.32
episode 154 : step=89  reward=-41.0 aveQ=+17.10  loss=225.47
episode 155 : step=89  reward=-33.0 aveQ=+50.17  loss=231.15
episode 156 : step=110 reward=-62.0 aveQ=-57.02  loss=224.63
episode 157 : step=55  reward=-22.0 aveQ=+113.23 loss=188.00
episode 158 : step=68  reward=-33.0 aveQ=+20.66  loss=221.23
episode 159 : step=55  reward=-29.0 aveQ=+43.81  loss=222.64
episode 160 : step=110 reward=-36.0 aveQ=+21.73  loss=198.99
episode 161 : step=89  reward=-32.0 aveQ=+11.49  loss=204.02
episode 162 : step=55  reward=-22.0 aveQ=+50.35  loss=206.30
episode 163 : step=55  reward=-18.0 aveQ=+49.34  loss=211.71
episode 164 : step=110 reward=-45.0 aveQ=+76.56  loss=190.13
episode 165 : step=68  reward=-31.0 aveQ=+55.25  loss=198.94
episode 166 : step=55  reward=-25.0 aveQ=+63.28  loss=203.09
episode 167 : step=55  reward=-42.0 aveQ=+12.16  loss=234.70
episode 168 : step=55  reward=-23.0 aveQ=+37.36  loss=166.54
episode 169 : step=55  reward=-33.0 aveQ=+30.44  loss=181.33
episode 170 : step=68  reward=-32.0 aveQ=+113.10 loss=153.74
episode 171 : step=55  reward=-32.0 aveQ=+26.00  loss=168.72
episode 172 : step=89  reward=-33.0 aveQ=-11.74  loss=194.41
episode 173 : step=55  reward=-19.0 aveQ=+55.76  loss=146.30
episode 174 : step=110 reward=-46.0 aveQ=+50.14  loss=145.47
episode 175 : step=110 reward=-43.0 aveQ=+63.61  loss=153.46
episode 176 : step=89  reward=-30.0 aveQ=+51.77  loss=166.54
episode 177 : step=89  reward=-50.0 aveQ=+48.95  loss=138.46
episode 178 : step=68  reward=-28.0 aveQ=+35.30  loss=131.46
episode 179 : step=89  reward=-51.0 aveQ=-20.48  loss=124.51
episode 180 : step=72  reward=-26.0 aveQ=+67.70  loss=111.54
episode 181 : step=89  reward=-31.0 aveQ=+86.66  loss=123.43
episode 182 : step=68  reward=-25.0 aveQ=+18.53  loss=107.63
episode 183 : step=89  reward=-30.0 aveQ=+75.60  loss=96.50
episode 184 : step=89  reward=-30.0 aveQ=+91.33  loss=87.36
episode 185 : step=55  reward=-17.0 aveQ=+53.86  loss=87.99
episode 186 : step=89  reward=-44.0 aveQ=+26.42  loss=78.83
episode 187 : step=72  reward=-56.0 aveQ=+33.10  loss=64.76
episode 188 : step=55  reward=-26.0 aveQ=+0.30   loss=66.04
episode 189 : step=42  reward=-19.0 aveQ=+14.72  loss=63.22
episode 190 : step=89  reward=-53.0 aveQ=+6.85   loss=59.90
episode 191 : step=89  reward=-34.0 aveQ=+43.07  loss=56.02
episode 192 : step=68  reward=-27.0 aveQ=+35.62  loss=50.48
episode 193 : step=110 reward=-65.0 aveQ=-2.40   loss=47.59
episode 194 : step=72  reward=-29.0 aveQ=+14.06  loss=40.80
episode 195 : step=55  reward=-26.0 aveQ=+12.54  loss=43.48
episode 196 : step=72  reward=-33.0 aveQ=-4.54   loss=45.50
episode 197 : step=42  reward=-15.0 aveQ=+15.62  loss=30.06
episode 198 : step=89  reward=-47.0 aveQ=+19.28  loss=30.45
episode 199 : step=68  reward=-56.0 aveQ=-1.71   loss=28.83
episode 200 : step=89  reward=-26.0 aveQ=+43.05  loss=28.10
episode 201 : step=89  reward=-57.0 aveQ=-1.93   loss=26.92
episode 202 : step=42  reward=-27.0 aveQ=+3.85   loss=22.89
episode 203 : step=110 reward=-59.0 aveQ=+20.86  loss=24.01
episode 204 : step=72  reward=-33.0 aveQ=+18.58  loss=22.32
episode 205 : step=89  reward=-30.0 aveQ=+19.14  loss=19.98
episode 206 : step=55  reward=-23.0 aveQ=+9.93   loss=18.24
episode 207 : step=55  reward=-27.0 aveQ=+5.87   loss=17.86
episode 208 : step=89  reward=-80.0 aveQ=-3.66   loss=16.75
episode 209 : step=89  reward=-40.0 aveQ=+21.84  loss=17.62
episode 210 : step=72  reward=-30.0 aveQ=+2.25   loss=15.23
episode 211 : step=89  reward=-45.0 aveQ=+12.20  loss=12.41
episode 212 : step=68  reward=-33.0 aveQ=-7.26   loss=13.07
episode 213 : step=68  reward=-30.0 aveQ=+1.70   loss=11.25
episode 214 : step=55  reward=-23.0 aveQ=+11.82  loss=12.65
episode 215 : step=72  reward=-25.0 aveQ=+12.01  loss=11.11
episode 216 : step=89  reward=-28.0 aveQ=+4.76   loss=11.54
episode 217 : step=110 reward=-87.0 aveQ=-10.12  loss=10.10
episode 218 : step=55  reward=-19.0 aveQ=-3.09   loss=9.08
episode 219 : step=42  reward=-13.0 aveQ=+1.32   loss=8.40
episode 220 : step=110 reward=-44.0 aveQ=+1.42   loss=8.72
episode 221 : step=55  reward=-35.0 aveQ=-1.54   loss=7.40
episode 222 : step=55  reward=-32.0 aveQ=-0.92   loss=6.95
episode 223 : step=55  reward=-27.0 aveQ=-3.94   loss=7.41
episode 224 : step=55  reward=-23.0 aveQ=-4.83   loss=6.71
episode 225 : step=89  reward=-33.0 aveQ=-0.54   loss=6.83
episode 226 : step=89  reward=-30.0 aveQ=-5.01   loss=7.24
episode 227 : step=89  reward=-41.0 aveQ=+0.99   loss=5.98
episode 228 : step=89  reward=-29.0 aveQ=-3.45   loss=5.09
episode 229 : step=55  reward=-43.0 aveQ=-8.24   loss=4.80
episode 230 : step=89  reward=-34.0 aveQ=-3.52   loss=4.79
episode 231 : step=72  reward=-31.0 aveQ=-6.61   loss=4.25
episode 232 : step=68  reward=-28.0 aveQ=-4.89   loss=3.97
episode 233 : step=68  reward=-23.0 aveQ=-8.10   loss=3.82
episode 234 : step=72  reward=-51.0 aveQ=-14.51  loss=4.13
episode 235 : step=55  reward=-36.0 aveQ=-12.30  loss=3.84
episode 236 : step=89  reward=-54.0 aveQ=-14.15  loss=3.58
episode 237 : step=89  reward=-31.0 aveQ=-12.67  loss=3.52
episode 238 : step=42  reward=-17.0 aveQ=-7.69   loss=3.23
episode 239 : step=110 reward=-90.0 aveQ=-18.63  loss=3.20
episode 240 : step=89  reward=-43.0 aveQ=-14.39  loss=2.85
episode 241 : step=42  reward=-17.0 aveQ=-7.41   loss=2.81
episode 242 : step=89  reward=-31.0 aveQ=-11.90  loss=2.66
episode 243 : step=68  reward=-21.0 aveQ=-8.20   loss=2.86
episode 244 : step=55  reward=-26.0 aveQ=-12.83  loss=2.59
episode 245 : step=89  reward=-32.0 aveQ=-17.94  loss=2.58
episode 246 : step=55  reward=-27.0 aveQ=-11.62  loss=2.38
episode 247 : step=68  reward=-40.0 aveQ=-18.34  loss=2.27
episode 248 : step=110 reward=-72.0 aveQ=-21.17  loss=2.13
episode 249 : step=72  reward=-28.0 aveQ=-15.79  loss=2.15
episode 250 : step=68  reward=-27.0 aveQ=-12.39  loss=1.93
episode 251 : step=55  reward=-22.0 aveQ=-10.97  loss=2.05
episode 252 : step=89  reward=-50.0 aveQ=-17.78  loss=2.13
episode 253 : step=72  reward=-24.0 aveQ=-13.30  loss=2.05
episode 254 : step=72  reward=-43.0 aveQ=-16.30  loss=2.13
episode 255 : step=55  reward=-25.0 aveQ=-13.83  loss=2.26
episode 256 : step=68  reward=-31.0 aveQ=-14.72  loss=2.10
episode 257 : step=55  reward=-17.0 aveQ=-10.52  loss=2.06
episode 258 : step=68  reward=-32.0 aveQ=-14.61  loss=1.78
episode 259 : step=68  reward=-25.0 aveQ=-11.90  loss=1.94
episode 260 : step=55  reward=-25.0 aveQ=-13.72  loss=2.04
episode 261 : step=68  reward=-25.0 aveQ=-14.82  loss=1.89
episode 262 : step=72  reward=-59.0 aveQ=-18.68  loss=1.99
episode 263 : step=55  reward=-16.0 aveQ=-10.80  loss=1.80
episode 264 : step=42  reward=-29.0 aveQ=-12.58  loss=1.83
episode 265 : step=68  reward=-22.0 aveQ=-16.25  loss=1.75
episode 266 : step=55  reward=-41.0 aveQ=-15.99  loss=1.81
episode 267 : step=110 reward=-61.0 aveQ=-26.07  loss=1.84
episode 268 : step=72  reward=-40.0 aveQ=-15.81  loss=1.82
episode 269 : step=68  reward=-77.0 aveQ=-19.79  loss=1.79
episode 270 : step=68  reward=-44.0 aveQ=-17.41  loss=2.16
episode 271 : step=89  reward=-31.0 aveQ=-21.68  loss=1.93
episode 272 : step=68  reward=-29.0 aveQ=-16.56  loss=2.10
episode 273 : step=55  reward=-19.0 aveQ=-14.67  loss=1.85
episode 274 : step=42  reward=-13.0 aveQ=-9.26   loss=1.97
episode 275 : step=55  reward=-23.0 aveQ=-16.75  loss=1.83
episode 276 : step=42  reward=-21.0 aveQ=-12.92  loss=1.73
episode 277 : step=55  reward=-64.0 aveQ=-15.93  loss=1.65
episode 278 : step=72  reward=-29.0 aveQ=-19.37  loss=1.75
episode 279 : step=55  reward=-19.0 aveQ=-14.71  loss=1.86
episode 280 : step=55  reward=-42.0 aveQ=-17.82  loss=1.80
episode 281 : step=89  reward=-47.0 aveQ=-25.17  loss=1.83
episode 282 : step=42  reward=-14.0 aveQ=-10.02  loss=1.85
episode 283 : step=42  reward=-20.0 aveQ=-11.52  loss=2.02
episode 284 : step=89  reward=-48.0 aveQ=-23.29  loss=1.87
episode 285 : step=55  reward=-31.0 aveQ=-15.20  loss=1.91
episode 286 : step=72  reward=-24.0 aveQ=-16.48  loss=1.85
episode 287 : step=68  reward=-44.0 aveQ=-18.00  loss=1.70
episode 288 : step=110 reward=-69.0 aveQ=-27.75  loss=1.90
episode 289 : step=68  reward=-67.0 aveQ=-20.10  loss=1.94
episode 290 : step=89  reward=-37.0 aveQ=-23.20  loss=1.79
episode 291 : step=68  reward=-71.0 aveQ=-21.45  loss=1.63
episode 292 : step=89  reward=-77.0 aveQ=-19.15  loss=1.90
episode 293 : step=68  reward=-40.0 aveQ=-21.29  loss=1.96
episode 294 : step=55  reward=-25.0 aveQ=-16.77  loss=1.88
episode 295 : step=68  reward=-37.0 aveQ=-20.83  loss=1.83
episode 296 : step=55  reward=-29.0 aveQ=-17.70  loss=1.81
episode 297 : step=72  reward=-30.0 aveQ=-18.32  loss=1.77
episode 298 : step=42  reward=-23.0 aveQ=-14.30  loss=1.88
episode 299 : step=89  reward=-47.0 aveQ=-24.56  loss=1.98
episode 300 : step=68  reward=-31.0 aveQ=-21.37  loss=2.08
episode 301 : step=68  reward=-27.0 aveQ=-19.20  loss=1.99
episode 302 : step=55  reward=-34.0 aveQ=-18.55  loss=1.95
episode 303 : step=68  reward=-31.0 aveQ=-21.82  loss=1.75
episode 304 : step=89  reward=-34.0 aveQ=-22.60  loss=1.93
episode 305 : step=55  reward=-24.0 aveQ=-16.73  loss=1.93
episode 306 : step=110 reward=-37.0 aveQ=-21.65  loss=1.72
episode 307 : step=89  reward=-52.0 aveQ=-23.05  loss=1.84
episode 308 : step=68  reward=-29.0 aveQ=-18.04  loss=2.09
episode 309 : step=55  reward=-40.0 aveQ=-17.35  loss=1.80
episode 310 : step=89  reward=-33.0 aveQ=-25.82  loss=2.02
episode 311 : step=42  reward=-17.0 aveQ=-12.14  loss=1.78
episode 312 : step=72  reward=-37.0 aveQ=-21.03  loss=1.92
episode 313 : step=68  reward=-27.0 aveQ=-19.79  loss=1.66
episode 314 : step=68  reward=-39.0 aveQ=-20.53  loss=1.94
episode 315 : step=72  reward=-68.0 aveQ=-24.25  loss=1.86
episode 316 : step=89  reward=-49.0 aveQ=-28.86  loss=2.30
episode 317 : step=42  reward=-25.0 aveQ=-14.16  loss=1.77
episode 318 : step=42  reward=-47.0 aveQ=-17.92  loss=1.74
episode 319 : step=55  reward=-17.0 aveQ=-17.16  loss=1.82
episode 320 : step=55  reward=-22.0 aveQ=-14.75  loss=1.80
episode 321 : step=68  reward=-24.0 aveQ=-14.41  loss=2.01
episode 322 : step=89  reward=-37.0 aveQ=-24.65  loss=1.65
episode 323 : step=68  reward=-21.0 aveQ=-15.73  loss=1.83
episode 324 : step=55  reward=-23.0 aveQ=-15.62  loss=1.77
episode 325 : step=55  reward=-25.0 aveQ=-18.49  loss=1.64
episode 326 : step=55  reward=-24.0 aveQ=-15.18  loss=1.92
episode 327 : step=55  reward=-29.0 aveQ=-17.07  loss=2.02
episode 328 : step=72  reward=-30.0 aveQ=-18.16  loss=1.59
episode 329 : step=89  reward=-41.0 aveQ=-22.06  loss=1.72
episode 330 : step=89  reward=-30.0 aveQ=-18.89  loss=2.03
episode 331 : step=42  reward=-19.0 aveQ=-10.09  loss=2.47
